foodId,foodName,foodQuantity,caloriesInFood
1,"Nuts, pecans",100 g,691
2,"Eggplant, raw",100 g,25
3,"Teff, uncooked",100 g,367
4,"Sherbet, orange",100 g,144
5,"Cauliflower, raw",100 g,25
6,"Taro leaves, raw",100 g,42
7,"Lamb, raw, ground",100 g,282
8,"Cheese, camembert",100 g,300
9,Vegetarian fillets,100 g,290
10,"PACE, Picante Sauce",100 g,25
11,"Goji berries, dried",100 g,349
12,"Mango nectar, canned",100 g,51
13,"Crackers, rusk toast",100 g,407
14,"Chicken, boiled, feet",100 g,215
15,"Quail, raw, meat only",100 g,134
16,"Pie, lemon, fried pies",100 g,316
17,"Peppers, raw, jalapeno",100 g,29
18,"Winged bean tuber, raw",100 g,148
19,"Salami, turkey, cooked",100 g,172
20,"Grapes, raw, muscadine",100 g,57
21,"Nuts, raw, ginkgo nuts",100 g,182
22,"Spices, ground, savory",100 g,272
23,"Candies, sesame crunch",100 g,516
24,"Cheese, low fat, cream",100 g,201
25,"PACE, Green Taco Sauce",100 g,25
26,"Syrup, Canadian, maple",100 g,270
27,"Ostrich, raw, top loin",100 g,119
28,"Chewing gum, sugarless",100 g,268
29,"Nuts, dried, pine nuts",100 g,673
30,"Pasta, unenriched, dry",100 g,371
31,"McDONALD'S, Side Salad",100 g,20
32,"Cookies, Marie biscuit",100 g,406
33,"Broccoli, raw, chinese",100 g,30
34,"McDONALD'S, Hash Brown",100 g,271
35,"Agave, raw (Southwest)",100 g,68
36,"Emu, raw, outside drum",100 g,103
37,"Nuts, dried, beechnuts",100 g,576
38,"Currants, dried, zante",100 g,283
39,"Lentils, raw, sprouted",100 g,106
40,"Gravy, mix, dry, onion",100 g,322
41,"Pie, fruit, fried pies",100 g,316
42,"Snacks, cakes, popcorn",100 g,384
43,"Snack, Mixed Berry Bar",100 g,383
44,"Fish, raw, sheepshead",100 g,108
45,"Babyfood, pear, juice",100 g,47
46,"Brussels sprouts, raw",100 g,43
47,"Broccoli raab, cooked",100 g,33
48,"Butter oil, anhydrous",100 g,876
49,"Chicory, raw, witloof",100 g,17
50,"KEEBLER, Waffle Cones",100 g,424
51,"KEEBLER, Waffle Bowls",100 g,424
52,"Broccoli, raw, leaves",100 g,28
53,"Durian, raw or frozen",100 g,147
54,"Tomatoes, raw, orange",100 g,16
55,"Tomatoes, raw, yellow",100 g,15
56,"Egg custards, dry mix",100 g,410
57,"Peanut flour, low fat",100 g,428
58,"Fish, smoked, haddock",100 g,116
59,"DENNY'S, french fries",100 g,282
60,"Ground turkey, cooked",100 g,203
61,"MURRAY, Vanilla Wafer",100 g,461
62,"WENDY'S, french fries",100 g,301
63,"Bread, toasted, wheat",100 g,313
64,"Danish pastry, cheese",100 g,374
65,"Nuts, glazed, walnuts",100 g,500
66,"Spices, garlic powder",100 g,331
67,"Oil, soybean lecithin",100 g,763
68,"Egg, fresh, raw, yolk",100 g,322
69,"Fireweed, raw, leaves",100 g,103
70,"Beef, pastrami, cured",100 g,147
71,"Frankfurter, meatless",100 g,233
72,"Emu, raw, flat fillet",100 g,102
73,"Emu, raw, inside drum",100 g,108
74,"Ice creams, chocolate",100 g,216
75,"Snacks, potato sticks",100 g,522
76,"USDA Commodity, salsa",100 g,36
77,"Figs, uncooked, dried",100 g,249
78,"Game meat, raw, horse",100 g,133
79,"Syrup, fruit flavored",100 g,261
80,"Broccoli, raw, stalks",100 g,28
81,"Cream, cultured, sour",100 g,198
82,"Gravy, canned, au jus",100 g,16
83,"McDONALD'S, Hamburger",100 g,264
84,"Cheese, port de salut",100 g,352
85,SILK Original Creamer,100 g,100
86,SILK Hazelnut Creamer,100 g,133
87,"Soup, mix, dry, onion",100 g,293
88,"Mushrooms, raw, enoki",100 g,37
89,Bacon and beef sticks,100 g,517
90,"Salami, pork, Italian",100 g,425
91,"Crackers, whole-wheat",100 g,427
92,"Peanuts, raw, spanish",100 g,570
93,"Hominy, white, canned",100 g,72
94,"Game meat, raw, moose",100 g,102
95,"Pears, red anjou, raw",100 g,62
96,"Horseradish, prepared",100 g,48
97,"Fish, raw, butterfish",100 g,146
